date,case_shiller,cs_ret,work_over55,housing_starts,monthly_supply,confidence,pop_growth,unemploy,10yr_treas,income,cpi,gini_ratio
1/1/1998,87.195,0.003648795,31.1,1525,4,106.6,0.00092575,4.2,5.58,37161.66667,162,0.45875
2/1/1998,87.405,0.002408395,31.1,1584,3.9,110.4,0.000771959,4,5.57,37318.33333,162,0.4585
3/1/1998,87.909,0.005766261,30.9,1567,4.1,106.5,0.000760448,4,5.64,37475,162,0.45825
4/1/1998,88.589,0.007735272,31.2,1540,4,108.7,0.000934386,3.4,5.61,37631.66667,162.2,0.458
5/1/1998,89.404,0.009199788,31.3,1536,3.9,106.5,0.000944411,3.2,5.67,37788.33333,162.6,0.45775
6/1/1998,90.224,0.009171849,31.1,1641,3.8,105.6,0.000987067,3.4,5.5,37945,162.8,0.4575
7/1/1998,90.889,0.007370544,31.2,1698,4,105.2,0.001011471,3.5,5.46,38101.66667,163.2,0.45725
8/1/1998,91.436,0.00601833,31.1,1614,4.1,104.4,0.001097369,3.4,5.36,38258.33333,163.4,0.457
9/1/1998,91.78,0.003762194,31.4,1582,4.1,100.9,0.001070842,3.3,4.86,38415,163.5,0.45675
10/1/1998,92.027,0.002691218,31.5,1715,4,97.4,0.0010444,3.3,4.53,38571.66667,163.9,0.4565
11/1/1998,92.225,0.002151542,31.7,1660,3.5,102.7,0.000989159,3.2,4.83,38728.33333,164.1,0.45625
12/1/1998,92.471,0.00266739,31.8,1792,3.8,100.5,0.000898019,3.2,4.65,38885,164.4,0.456
1/1/1999,92.742,0.002930649,31.5,1748,3.9,103.9,0.000951262,3.8,4.72,39035.91667,164.7,0.456166667
2/1/1999,93.008,0.002868172,31.6,1670,4,108.1,0.000727168,3.8,5,39186.83333,164.7,0.456333333
3/1/1999,93.64,0.006795114,31.7,1710,4.1,105.7,0.000741029,3.4,5.23,39337.75,164.8,0.4565
4/1/1999,94.466,0.008821017,31.8,1553,3.9,104.6,0.000909424,3.2,5.19,39488.66667,165.9,0.456666667
5/1/1999,95.392,0.009802469,31.7,1611,4,106.8,0.000955285,3,5.54,39639.58333,166,0.456833333
6/1/1999,96.394,0.010504025,32.1,1559,3.9,107.3,0.001018955,3.1,5.9,39790.5,166,0.457
7/1/1999,97.222,0.008589746,32.1,1669,4,106,0.00105376,3.3,5.81,39941.41667,166.7,0.457166667
8/1/1999,97.927,0.007251445,32,1648,4,104.5,0.001099196,3.3,5.94,40092.33333,167.1,0.457333333
9/1/1999,98.432,0.005156903,31.9,1635,4.5,107.2,0.00107653,3.1,5.93,40243.25,167.8,0.4575
10/1/1999,98.867,0.004419295,31.8,1608,4.2,103.2,0.0010718,2.9,6.08,40394.16667,168.1,0.457666667
11/1/1999,99.187,0.003236671,31.8,1648,4.3,107.2,0.000956449,2.8,6.02,40545.08333,168.4,0.457833333
12/1/1999,99.58,0.003962213,32.1,1708,4.3,105.4,0.000873531,2.9,6.27,40696,168.8,0.458
1/1/2000,100,0.004217714,32.3,1636,4.3,112,0.000926203,3.5,6.67,40803.83333,169.3,0.458333333
2/1/2000,100.57,0.0057,32.4,1737,4.3,111.3,0.000761631,3.4,6.53,40911.66667,170,0.458666667
3/1/2000,101.465,0.008899274,32.4,1604,4.3,107.1,0.000778833,3.3,6.27,41019.5,171,0.459
4/1/2000,102.541,0.010604642,32.2,1626,4.4,109.2,0.000867065,2.9,5.99,41127.33333,170.9,0.459333333
5/1/2000,103.703,0.011332053,32.2,1575,4.4,110.7,0.000795305,2.8,6.45,41235.16667,171.2,0.459666667
6/1/2000,104.856,0.01111829,32.2,1559,4.8,106.4,0.000883364,3,6.12,41343,172.2,0.46
7/1/2000,105.722,0.008258946,32.3,1463,4.1,108.3,0.00091803,3.2,6.05,41450.83333,172.7,0.460333333
8/1/2000,106.521,0.007557557,32.5,1541,4.4,107.3,0.000949059,3.2,5.85,41558.66667,172.7,0.460666667
9/1/2000,107.135,0.005764122,32.4,1507,4,106.8,0.000987076,2.9,5.79,41666.5,173.6,0.461
10/1/2000,107.728,0.005535073,32.4,1549,4,105.8,0.000950758,2.8,5.74,41774.33333,173.9,0.461333333
11/1/2000,108.291,0.005226125,32.3,1551,4.2,107.6,0.000889827,2.8,5.75,41882.16667,174.2,0.461666667
12/1/2000,108.792,0.004626423,32.6,1532,3.6,98.4,0.000857285,2.9,5.29,41990,174.6,0.462
1/1/2001,109.215,0.003888154,32.8,1600,3.8,94.7,0.000789578,3.7,5.14,42009.83333,175.6,0.462333333
2/1/2001,109.643,0.003918876,32.7,1625,3.7,90.6,0.0007643,3.6,5.14,42029.66667,176,0.462666667
3/1/2001,110.395,0.006858623,32.8,1590,3.8,91.5,0.000749638,3.6,4.9,42049.5,176.1,0.463
4/1/2001,111.248,0.007726799,33,1649,3.9,88.4,0.000812379,3.3,5.13,42069.33333,176.4,0.463333333
5/1/2001,112.203,0.008584424,33,1605,4,92,0.000804692,3.2,5.37,42089.16667,177.3,0.463666667
6/1/2001,113.274,0.009545199,33.1,1636,4.2,92.6,0.0008848,3.5,5.32,42109,177.7,0.464
7/1/2001,114.229,0.008430884,33.2,1670,4.2,92.4,0.000866478,3.7,5.26,42128.83333,177.4,0.464333333
8/1/2001,114.99,0.006662056,33.4,1567,4.4,91.5,0.000914798,3.9,4.98,42148.66667,177.4,0.464666667
9/1/2001,115.467,0.004148187,33.5,1562,4.4,81.8,0.000955983,3.8,4.74,42168.5,178.1,0.465
10/1/2001,115.682,0.001862004,33.5,1540,4.3,82.7,0.000892098,4,4.6,42188.33333,177.6,0.465333333
11/1/2001,115.839,0.001357169,33.6,1602,4.1,83.9,0.000849359,4.4,4.64,42208.16667,177.5,0.465666667
12/1/2001,116.055,0.001864657,33.8,1568,3.8,88.8,0.000799746,4.5,5.09,42228,177.4,0.466
1/1/2002,116.437,0.003291543,33.8,1698,4.2,93,0.000760722,5.4,5.04,42243.08333,177.7,0.465666667
2/1/2002,116.918,0.004130989,34.1,1829,4,90.7,0.000718301,5.1,4.95,42258.16667,178,0.465333333
3/1/2002,117.931,0.008664192,33.8,1642,4.1,95.7,0.000682941,5.1,5.22,42273.25,178.5,0.465
4/1/2002,119.211,0.010853804,34.2,1592,4.3,93,0.000720777,4.9,5.22,42288.33333,179.3,0.464666667
5/1/2002,120.79,0.013245422,34.4,1764,4,96.9,0.000786369,4.6,5.16,42303.41667,179.5,0.464333333
6/1/2002,122.334,0.012782515,34.6,1717,4.2,92.4,0.000837902,4.7,4.93,42318.5,179.6,0.464
7/1/2002,123.687,0.011059885,34.7,1655,4.2,88.1,0.000837201,4.8,4.67,42333.58333,180,0.463666667
8/1/2002,124.729,0.008424491,34.8,1633,4,87.6,0.000885094,4.7,4.3,42348.66667,180.5,0.463333333
9/1/2002,125.493,0.00612528,35.2,1804,3.9,86.1,0.000894715,4.4,3.89,42363.75,180.8,0.463
10/1/2002,126.135,0.005115823,35.1,1648,4,80.6,0.000873126,4.5,3.92,42378.83333,181.2,0.462666667
11/1/2002,126.64,0.004003647,35,1753,4,84.2,0.000816976,4.8,4.04,42393.91667,181.5,0.462333333
12/1/2002,127.149,0.004019267,34.9,1788,4,86.7,0.000716,4.9,4.05,42409,181.8,0.462
1/1/2003,127.651,0.003948124,35.5,1853,4,82.4,0.000708575,5.5,4.02,42484.75,182.6,0.462166667
2/1/2003,128.327,0.005295689,35.5,1629,4.5,79.9,0.000676987,5.5,3.9,42560.5,183.6,0.462
3/1/2003,129.31,0.007660118,35.5,1726,4.1,77.6,0.000679981,5.4,3.81,42636.25,183.9,0.4625
4/1/2003,130.49,0.009125358,35.5,1643,4.1,86,0.000738158,4.9,3.96,42712,183.2,0.462666667
5/1/2003,131.84,0.01034562,35.6,1751,3.9,92.1,0.000761741,4.7,3.6,42787.75,182.9,0.462833333
6/1/2003,133.225,0.010505158,35.6,1867,3.5,89.7,0.000819712,5.1,3.32,42863.5,183.1,0.463
7/1/2003,134.645,0.01065866,35.5,1897,3.6,90.9,0.000812158,5.1,3.85,42939.25,183.7,0.463166667
8/1/2003,135.963,0.009788704,35.7,1833,3.5,89.3,0.000866515,5.1,4.44,43015,184.5,0.463333333
9/1/2003,137.076,0.008186051,35.6,1939,3.8,87.7,0.000855458,4.8,4.31,43090.75,185.1,0.4635
